date,region,product,sales_amount,units_sold,promo_active,holiday,year,month,month_name,quarter
2022-01-01,North,Product_A,4591.400000000001,71,0,1,2022,1,January,2022Q1
2022-01-01,North,Product_B,2343.0,33,0,1,2022,1,January,2022Q1
2022-01-01,North,Product_C,2901.8,40,0,1,2022,1,January,2022Q1
2022-01-01,South,Product_A,1463.0000000000002,17,0,1,2022,1,January,2022Q1
2022-01-01,South,Product_B,4310.900000000001,60,0,1,2022,1,January,2022Q1
2022-01-01,South,Product_C,6263.400000000001,67,1,1,2022,1,January,2022Q1
2022-01-01,East,Product_A,4933.5,70,0,1,2022,1,January,2022Q1
2022-01-01,East,Product_B,2402.4,33,0,1,2022,1,January,2022Q1
2022-01-01,East,Product_C,3630.000000000001,37,0,1,2022,1,January,2022Q1
2022-01-01,West,Product_A,1621.4,17,0,1,2022,1,January,2022Q1
2022-01-01,West,Product_B,3351.7000000000003,51,0,1,2022,1,January,2022Q1
2022-01-01,West,Product_C,3086.6000000000004,32,0,1,2022,1,January,2022Q1
2022-01-02,North,Product_A,4405.5,84,0,1,2022,1,January,2022Q1
2022-01-02,North,Product_B,5011.6,71,0,1,2022,1,January,2022Q1
2022-01-02,North,Product_C,4276.8,80,0,1,2022,1,January,2022Q1
2022-01-02,South,Product_A,2288.0,23,1,1,2022,1,January,2022Q1
2022-01-02,South,Product_B,3345.1000000000004,65,0,1,2022,1,January,2022Q1
2022-01-02,South,Product_C,2599.3,46,0,1,2022,1,January,2022Q1
2022-01-02,East,Product_A,4948.900000000001,51,0,1,2022,1,January,2022Q1
2022-01-02,East,Product_B,1478.62,17,1,1,2022,1,January,2022Q1
2022-01-02,East,Product_C,2843.5000000000005,55,0,1,2022,1,January,2022Q1
2022-01-02,West,Product_A,2223.1000000000004,24,0,1,2022,1,January,2022Q1
2022-01-02,West,Product_B,5327.3,79,0,1,2022,1,January,2022Q1
2022-01-02,West,Product_C,4154.700000000001,70,0,1,2022,1,January,2022Q1
2022-01-03,North,Product_A,3875.3,48,1,0,2022,1,January,2022Q1
2022-01-03,North,Product_B,1815.0,28,0,0,2022,1,January,2022Q1
2022-01-03,North,Product_C,4798.0,53,0,0,2022,1,January,2022Q1
